P,Ai,As,Sun_pred
53.5,120,194,0.000000
51.74,125,200,0.000000
51.25,130,210,0.000000
51.29,145,212,0.000000
51.22,150,220,0.000000
51.14,150,300,0.000000
51.18,160,350,0.000000
51.84,128,350,0.000000
52.9,110,325,0.000000
53.58,115,300,0.006049
53.44,120,275,0.119073
53.12,123,250,0.325893
52.76,125,233,0.541241
52.84,98,230,0.729511
53.4,99,238,0.871414
53.81,100,225,0.954641
54.05,105,212,0.972483
52.91,110,208,0.925327
52.83,112,190,0.814170
53.52,125,180,0.645882
53.61,150,168,0.442199
53.55,143,150,0.225854
52.78,136,165,0.050824
51.77,160,176,0.000000
